age,job,marital,education,balance,housing,loan,deposit,customer_segment,segment_name,estimated_clv,risk_score,campaign_cost,campaign_roi
32,management,single,tertiary,311,no,no,yes,0,Young_Savers,5006.22,0.0,100,4900.0
35,blue-collar,married,primary,414,no,no,yes,0,Young_Savers,5008.28,0.0,200,2400.0
33,management,divorced,secondary,5,yes,no,yes,0,Young_Savers,5000.1,0.0,50,9900.0
38,management,married,tertiary,119,yes,no,yes,0,Young_Savers,5002.38,0.0,200,2400.0
23,entrepreneur,single,primary,4,yes,no,yes,0,Young_Savers,5000.08,0.0,100,4900.0
60,blue-collar,married,primary,1262,yes,yes,yes,3,Premium_Clients,5025.24,30.0,50,9900.0
48,management,married,tertiary,1949,yes,no,yes,0,Young_Savers,5038.98,0.0,100,4900.0
45,entrepreneur,divorced,tertiary,-395,yes,no,yes,0,Young_Savers,4992.1,30.0,50,9900.0
36,blue-collar,married,secondary,1165,yes,no,yes,0,Young_Savers,5023.3,0.0,200,2400.0
52,management,married,unknown,2240,yes,no,yes,3,Premium_Clients,5044.8,0.0,50,9900.0
35,blue-collar,divorced,primary,300,yes,no,yes,0,Young_Savers,5006.0,0.0,100,4900.0
43,technician,married,secondary,3285,yes,no,yes,0,Young_Savers,5065.7,0.0,100,4900.0
52,housemaid,married,secondary,3923,yes,no,yes,3,Premium_Clients,5078.46,0.0,150,3233.3333333333335
53,technician,divorced,primary,1443,yes,no,yes,3,Premium_Clients,5028.86,0.0,50,9900.0
48,blue-collar,divorced,primary,24,yes,no,yes,0,Young_Savers,5000.48,0.0,50,9900.0
41,blue-collar,single,primary,1618,yes,no,yes,0,Young_Savers,5032.36,0.0,50,9900.0
39,management,divorced,tertiary,517,yes,yes,yes,0,Young_Savers,5010.34,30.0,50,9900.0
59,retired,married,secondary,1521,yes,yes,yes,3,Premium_Clients,5030.42,30.0,100,4900.0
41,blue-collar,married,secondary,2823,yes,no,yes,0,Young_Savers,5056.46,0.0,50,9900.0
48,blue-collar,married,secondary,1405,yes,no,yes,0,Young_Savers,5028.1,0.0,100,4900.0
40,admin.,married,secondary,1535,yes,no,yes,0,Young_Savers,5030.7,0.0,50,9900.0
48,blue-collar,married,secondary,1596,yes,no,yes,0,Young_Savers,5031.92,0.0,50,9900.0
60,retired,married,primary,1542,yes,no,yes,3,Premium_Clients,5030.84,0.0,50,9900.0
40,technician,single,unknown,3652,yes,no,yes,0,Young_Savers,5073.04,0.0,100,4900.0
57,technician,married,tertiary,-1,no,no,yes,3,Premium_Clients,4999.98,30.0,100,4900.0
51,blue-collar,married,secondary,7180,yes,no,yes,3,Premium_Clients,5143.6,0.0,50,9900.0
41,blue-collar,divorced,secondary,5291,yes,no,yes,0,Young_Savers,5105.82,0.0,150,3233.3333333333335
41,blue-collar,married,secondary,1384,yes,no,yes,0,Young_Savers,5027.68,0.0,200,2400.0
52,blue-collar,divorced,primary,-191,yes,no,yes,0,Young_Savers,4996.18,30.0,50,9900.0
59,blue-collar,married,primary,320,yes,no,yes,3,Premium_Clients,5006.4,0.0,50,9900.0
44,blue-collar,married,unknown,146,yes,no,yes,0,Young_Savers,5002.92,0.0,50,9900.0
49,unknown,married,primary,341,yes,yes,yes,0,Young_Savers,5006.82,30.0,100,4900.0
40,services,married,primary,-9,yes,no,yes,0,Young_Savers,4999.82,30.0,100,4900.0
41,admin.,married,primary,-306,yes,no,yes,0,Young_Savers,4993.88,30.0,50,9900.0
44,technician,married,tertiary,4580,yes,no,yes,0,Young_Savers,5091.6,0.0,100,4900.0
60,services,single,primary,313,yes,no,yes,3,Premium_Clients,5006.26,0.0,100,4900.0
29,management,married,tertiary,10576,no,no,yes,0,Young_Savers,5211.52,0.0,100,4900.0
41,retired,divorced,primary,-233,yes,no,yes,0,Young_Savers,4995.34,30.0,100,4900.0
41,blue-collar,married,primary,2453,yes,no,yes,0,Young_Savers,5049.06,0.0,50,9900.0
42,technician,single,secondary,1364,yes,no,yes,0,Young_Savers,5027.28,0.0,300,1566.6666666666665
36,services,single,unknown,281,yes,no,yes,0,Young_Savers,5005.62,0.0,50,9900.0
39,technician,married,tertiary,94,yes,yes,yes,0,Young_Savers,5001.88,30.0,50,9900.0
31,self-employed,single,tertiary,144,yes,no,yes,0,Young_Savers,5002.88,0.0,50,9900.0
26,blue-collar,married,secondary,246,yes,no,yes,0,Young_Savers,5004.92,0.0,150,3233.3333333333335
31,blue-collar,married,secondary,92,yes,no,yes,0,Young_Savers,5001.84,0.0,50,9900.0
29,admin.,single,secondary,163,yes,yes,yes,0,Young_Savers,5003.26,30.0,50,9900.0
37,services,divorced,secondary,49,yes,no,yes,0,Young_Savers,5000.98,0.0,100,4900.0
33,blue-collar,single,secondary,-416,yes,no,yes,0,Young_Savers,4991.68,30.0,100,4900.0
24,technician,single,secondary,409,yes,no,yes,0,Young_Savers,5008.18,0.0,50,9900.0
50,admin.,divorced,secondary,363,yes,no,yes,0,Young_Savers,5007.26,0.0,50,9900.0
27,technician,single,tertiary,3706,yes,no,yes,0,Young_Savers,5074.12,0.0,50,9900.0
54,management,single,tertiary,4393,yes,no,yes,3,Premium_Clients,5087.86,0.0,150,3233.3333333333335
30,technician,single,secondary,863,yes,no,yes,0,Young_Savers,5017.26,0.0,250,1900.0
34,blue-collar,married,primary,695,yes,yes,yes,0,Young_Savers,5013.9,30.0,200,2400.0
37,management,single,secondary,792,yes,no,yes,0,Young_Savers,5015.84,0.0,200,2400.0
41,admin.,single,secondary,1020,yes,no,yes,0,Young_Savers,5020.4,0.0,50,9900.0
47,blue-collar,married,secondary,863,yes,no,yes,0,Young_Savers,5017.26,0.0,100,4900.0
31,admin.,married,secondary,97,yes,no,yes,0,Young_Savers,5001.94,0.0,50,9900.0
31,blue-collar,married,secondary,754,yes,no,yes,0,Young_Savers,5015.08,0.0,200,2400.0
43,services,divorced,secondary,1040,yes,no,yes,0,Young_Savers,5020.8,0.0,150,3233.3333333333335
37,management,divorced,tertiary,122,yes,no,yes,0,Young_Savers,5002.44,0.0,100,4900.0
30,technician,single,tertiary,880,yes,yes,yes,0,Young_Savers,5017.6,30.0,300,1566.6666666666665
41,technician,married,secondary,501,yes,no,yes,0,Young_Savers,5010.02,0.0,250,1900.0
36,blue-collar,married,secondary,4438,yes,no,yes,0,Young_Savers,5088.76,0.0,50,9900.0
35,blue-collar,divorced,secondary,0,yes,no,yes,0,Young_Savers,5000.0,0.0,50,9900.0
29,services,single,secondary,271,yes,no,yes,0,Young_Savers,5005.42,0.0,100,4900.0
35,blue-collar,married,primary,102,yes,no,yes,0,Young_Savers,5002.04,0.0,50,9900.0
31,blue-collar,married,secondary,2,yes,no,yes,0,Young_Savers,5000.04,0.0,100,4900.0
35,services,married,secondary,4170,yes,no,yes,0,Young_Savers,5083.4,0.0,50,9900.0
34,technician,single,secondary,85,yes,no,yes,0,Young_Savers,5001.7,0.0,200,2400.0
31,admin.,single,secondary,431,yes,yes,yes,0,Young_Savers,5008.62,30.0,50,9900.0
44,technician,divorced,secondary,982,yes,no,yes,0,Young_Savers,5019.64,0.0,150,3233.3333333333335
36,blue-collar,married,primary,408,yes,yes,yes,0,Young_Savers,5008.16,30.0,100,4900.0
35,blue-collar,married,unknown,4822,yes,no,yes,0,Young_Savers,5096.44,0.0,100,4900.0
41,blue-collar,married,primary,1250,yes,no,yes,0,Young_Savers,5025.0,0.0,100,4900.0
31,blue-collar,single,primary,216,yes,no,yes,0,Young_Savers,5004.32,0.0,50,9900.0
34,blue-collar,married,secondary,1207,yes,no,yes,0,Young_Savers,5024.14,0.0,50,9900.0
32,technician,married,secondary,791,yes,no,yes,0,Young_Savers,5015.82,0.0,100,4900.0
36,management,married,tertiary,849,yes,yes,yes,0,Young_Savers,5016.98,30.0,100,4900.0
30,blue-collar,single,secondary,239,yes,no,yes,0,Young_Savers,5004.78,40.0,50,9900.0
37,technician,single,secondary,1211,yes,no,yes,0,Young_Savers,5024.22,0.0,50,9900.0
36,blue-collar,married,primary,599,yes,no,yes,0,Young_Savers,5011.98,0.0,100,4900.0
31,management,single,tertiary,825,yes,no,yes,0,Young_Savers,5016.5,0.0,100,4900.0
27,technician,married,secondary,2183,yes,yes,yes,0,Young_Savers,5043.66,30.0,50,9900.0
34,retired,married,primary,4499,no,no,yes,0,Young_Savers,5089.98,0.0,50,9900.0
30,technician,single,tertiary,1289,yes,no,yes,0,Young_Savers,5025.78,0.0,100,4900.0
32,technician,single,tertiary,4665,yes,no,yes,0,Young_Savers,5093.3,0.0,100,4900.0
37,technician,single,secondary,3326,yes,no,yes,0,Young_Savers,5066.52,0.0,50,9900.0
32,blue-collar,married,secondary,783,yes,no,yes,0,Young_Savers,5015.66,0.0,150,3233.3333333333335
33,blue-collar,married,secondary,0,yes,no,yes,0,Young_Savers,5000.0,0.0,150,3233.3333333333335
35,blue-collar,married,primary,994,yes,no,yes,0,Young_Savers,5019.88,0.0,400,1150.0
35,self-employed,divorced,tertiary,1354,yes,no,yes,0,Young_Savers,5027.08,0.0,100,4900.0
30,blue-collar,single,secondary,239,yes,no,yes,0,Young_Savers,5004.78,0.0,50,9900.0
45,blue-collar,divorced,primary,-311,yes,no,yes,0,Young_Savers,4993.78,30.0,50,9900.0
45,admin.,married,secondary,149,yes,no,yes,0,Young_Savers,5002.98,0.0,150,3233.3333333333335
33,blue-collar,married,secondary,1464,yes,no,yes,0,Young_Savers,5029.28,0.0,150,3233.3333333333335
44,management,divorced,tertiary,5773,no,no,yes,3,Premium_Clients,5115.46,0.0,300,1566.6666666666665
40,blue-collar,married,primary,278,yes,no,yes,0,Young_Savers,5005.56,0.0,150,3233.3333333333335
31,blue-collar,married,secondary,2910,yes,no,yes,0,Young_Savers,5058.2,0.0,100,4900.0
30,technician,married,tertiary,541,yes,no,yes,0,Young_Savers,5010.82,0.0,100,4900.0
44,technician,divorced,secondary,1262,yes,no,yes,2,Budget_Conscious,5025.24,0.0,550,809.0909090909091
34,services,married,secondary,-538,yes,no,yes,0,Young_Savers,4989.24,30.0,50,9900.0
37,blue-collar,married,secondary,125,no,no,yes,0,Young_Savers,5002.5,0.0,100,4900.0
28,self-employed,single,tertiary,0,yes,no,yes,0,Young_Savers,5000.0,0.0,100,4900.0
32,admin.,single,secondary,620,yes,no,yes,0,Young_Savers,5012.4,0.0,150,3233.3333333333335
37,blue-collar,divorced,secondary,316,yes,no,yes,0,Young_Savers,5006.32,0.0,100,4900.0
34,management,married,tertiary,2287,yes,no,yes,0,Young_Savers,5045.74,0.0,200,2400.0
38,admin.,divorced,secondary,198,yes,no,yes,0,Young_Savers,5003.96,0.0,100,4900.0
28,admin.,single,secondary,460,yes,no,yes,0,Young_Savers,5009.2,0.0,300,1566.6666666666665
31,management,divorced,tertiary,1145,yes,no,yes,0,Young_Savers,5022.9,0.0,200,2400.0
59,services,married,secondary,-22,yes,no,yes,3,Premium_Clients,4999.56,30.0,150,3233.3333333333335
24,blue-collar,married,secondary,685,yes,no,yes,0,Young_Savers,5013.7,0.0,150,3233.3333333333335
26,services,single,secondary,901,yes,no,yes,0,Young_Savers,5018.02,0.0,100,4900.0
59,retired,single,secondary,351,yes,no,yes,3,Premium_Clients,5007.02,0.0,250,1900.0
30,entrepreneur,single,primary,0,yes,yes,yes,0,Young_Savers,5000.0,30.0,50,9900.0
37,admin.,married,secondary,274,yes,no,yes,0,Young_Savers,5005.48,0.0,150,3233.3333333333335
30,admin.,single,secondary,-213,yes,yes,yes,0,Young_Savers,4995.74,60.0,50,9900.0
25,blue-collar,married,secondary,97,yes,no,yes,0,Young_Savers,5001.94,0.0,50,9900.0
44,services,divorced,secondary,51,yes,yes,yes,0,Young_Savers,5001.02,30.0,100,4900.0
29,management,married,tertiary,314,no,no,yes,0,Young_Savers,5006.28,0.0,100,4900.0
26,management,single,tertiary,6840,yes,no,yes,0,Young_Savers,5136.8,0.0,100,4900.0
26,technician,single,secondary,668,yes,no,yes,0,Young_Savers,5013.36,0.0,150,3233.3333333333335
27,services,single,secondary,54,yes,no,yes,0,Young_Savers,5001.08,0.0,100,4900.0
25,self-employed,single,secondary,1242,yes,no,yes,0,Young_Savers,5024.84,0.0,100,4900.0
28,management,married,secondary,292,yes,no,yes,0,Young_Savers,5005.84,0.0,50,9900.0
23,services,single,secondary,665,yes,no,yes,0,Young_Savers,5013.3,0.0,50,9900.0
34,management,single,tertiary,1058,yes,no,yes,0,Young_Savers,5021.16,0.0,100,4900.0
28,student,single,secondary,949,yes,no,yes,0,Young_Savers,5018.98,0.0,50,9900.0
51,entrepreneur,married,unknown,606,yes,no,yes,2,Budget_Conscious,5012.12,0.0,450,1011.1111111111111
35,blue-collar,married,secondary,0,yes,yes,yes,0,Young_Savers,5000.0,30.0,50,9900.0
35,admin.,married,secondary,404,yes,no,yes,0,Young_Savers,5008.08,0.0,50,9900.0
56,blue-collar,married,secondary,249,yes,no,yes,3,Premium_Clients,5004.98,0.0,100,4900.0
45,unemployed,divorced,secondary,3354,yes,no,yes,0,Young_Savers,5067.08,0.0,50,9900.0
60,blue-collar,divorced,secondary,0,yes,no,yes,3,Premium_Clients,5000.0,0.0,50,9900.0
56,technician,married,secondary,589,yes,no,yes,3,Premium_Clients,5011.78,0.0,100,4900.0
27,management,single,tertiary,12956,yes,no,yes,0,Young_Savers,5259.12,0.0,150,3233.3333333333335
30,admin.,married,secondary,873,yes,no,yes,0,Young_Savers,5017.46,0.0,150,3233.3333333333335
45,blue-collar,divorced,primary,594,yes,no,yes,0,Young_Savers,5011.88,0.0,100,4900.0
29,blue-collar,single,secondary,-20,yes,no,yes,0,Young_Savers,4999.6,30.0,100,4900.0
38,management,divorced,tertiary,4692,yes,no,yes,0,Young_Savers,5093.84,0.0,100,4900.0
30,blue-collar,married,secondary,486,yes,no,yes,0,Young_Savers,5009.72,0.0,150,3233.3333333333335
44,blue-collar,single,primary,1593,yes,no,yes,0,Young_Savers,5031.86,0.0,150,3233.3333333333335
36,management,single,tertiary,7606,yes,no,yes,0,Young_Savers,5152.12,0.0,50,9900.0
38,technician,married,secondary,226,yes,no,yes,0,Young_Savers,5004.52,0.0,150,3233.3333333333335
36,blue-collar,single,secondary,366,yes,yes,yes,0,Young_Savers,5007.32,30.0,100,4900.0
37,management,divorced,secondary,16,yes,no,yes,0,Young_Savers,5000.32,0.0,50,9900.0
35,management,single,tertiary,565,yes,no,yes,0,Young_Savers,5011.3,0.0,50,9900.0
38,admin.,divorced,secondary,19,yes,no,yes,0,Young_Savers,5000.38,0.0,100,4900.0
40,services,married,primary,1082,yes,no,yes,0,Young_Savers,5021.64,0.0,100,4900.0
42,unemployed,divorced,secondary,1713,yes,no,yes,0,Young_Savers,5034.26,0.0,100,4900.0
46,management,divorced,tertiary,14481,yes,no,yes,3,Premium_Clients,5289.62,0.0,50,9900.0
35,technician,divorced,secondary,5724,yes,no,yes,2,Budget_Conscious,5114.48,0.0,500,900.0
34,technician,divorced,secondary,1451,yes,no,yes,2,Budget_Conscious,5029.02,0.0,750,566.6666666666667
32,services,married,secondary,-34,yes,no,yes,0,Young_Savers,4999.32,30.0,100,4900.0
50,unemployed,married,secondary,3674,yes,no,yes,3,Premium_Clients,5073.48,0.0,150,3233.3333333333335
35,blue-collar,married,secondary,698,yes,yes,yes,0,Young_Savers,5013.96,30.0,150,3233.3333333333335
36,technician,single,secondary,4136,yes,no,yes,0,Young_Savers,5082.72,0.0,150,3233.3333333333335
53,blue-collar,divorced,primary,2656,yes,no,yes,0,Young_Savers,5053.12,0.0,100,4900.0
46,management,single,tertiary,2904,yes,no,yes,0,Young_Savers,5058.08,0.0,100,4900.0
26,management,single,tertiary,1004,yes,no,yes,0,Young_Savers,5020.08,0.0,100,4900.0
45,technician,single,secondary,410,yes,no,yes,0,Young_Savers,5008.2,0.0,200,2400.0
31,unemployed,divorced,primary,0,yes,no,yes,2,Budget_Conscious,5000.0,0.0,600,733.3333333333333
29,management,single,tertiary,0,yes,no,yes,2,Budget_Conscious,5000.0,0.0,600,733.3333333333333
53,entrepreneur,single,secondary,62,yes,no,yes,0,Young_Savers,5001.24,0.0,250,1900.0
27,blue-collar,married,primary,416,yes,no,yes,0,Young_Savers,5008.32,0.0,100,4900.0
39,management,married,tertiary,2763,yes,no,yes,0,Young_Savers,5055.26,0.0,100,4900.0
36,services,married,secondary,2984,yes,no,yes,0,Young_Savers,5059.68,0.0,50,9900.0
41,blue-collar,married,primary,143,yes,yes,yes,0,Young_Savers,5002.86,30.0,100,4900.0
36,services,married,primary,0,yes,no,yes,0,Young_Savers,5000.0,0.0,50,9900.0
32,technician,married,secondary,696,yes,no,yes,0,Young_Savers,5013.92,0.0,50,9900.0
35,services,married,secondary,152,yes,no,yes,0,Young_Savers,5003.04,0.0,50,9900.0
36,management,single,tertiary,-78,yes,no,yes,0,Young_Savers,4998.44,30.0,50,9900.0
35,management,married,tertiary,867,yes,no,yes,0,Young_Savers,5017.34,0.0,150,3233.3333333333335
30,blue-collar,single,secondary,953,yes,no,yes,0,Young_Savers,5019.06,0.0,100,4900.0
42,blue-collar,married,secondary,443,yes,no,yes,0,Young_Savers,5008.86,0.0,250,1900.0
42,technician,single,secondary,-1129,yes,no,yes,0,Young_Savers,4977.42,70.0,250,1900.0
32,blue-collar,married,primary,415,yes,no,yes,0,Young_Savers,5008.3,0.0,200,2400.0
29,blue-collar,single,secondary,260,yes,no,yes,2,Budget_Conscious,5005.2,0.0,700,614.2857142857143
44,management,divorced,tertiary,-411,yes,no,yes,0,Young_Savers,4991.78,70.0,200,2400.0
32,technician,single,secondary,1279,yes,no,yes,0,Young_Savers,5025.58,0.0,150,3233.3333333333335
31,unemployed,married,secondary,86,yes,yes,yes,0,Young_Savers,5001.72,30.0,100,4900.0
40,self-employed,married,secondary,-754,yes,yes,yes,0,Young_Savers,4984.92,100.0,150,3233.3333333333335
43,entrepreneur,married,secondary,0,no,no,yes,0,Young_Savers,5000.0,0.0,350,1328.5714285714287
27,management,single,secondary,178,yes,no,yes,0,Young_Savers,5003.56,0.0,100,4900.0
37,services,single,secondary,278,yes,no,yes,0,Young_Savers,5005.56,0.0,150,3233.3333333333335
23,services,single,secondary,425,yes,no,yes,0,Young_Savers,5008.5,0.0,50,9900.0
25,management,married,primary,168,yes,no,yes,0,Young_Savers,5003.36,0.0,50,9900.0
26,blue-collar,single,secondary,-36,yes,no,yes,0,Young_Savers,4999.28,70.0,100,4900.0
47,blue-collar,divorced,primary,126,yes,no,yes,0,Young_Savers,5002.52,0.0,100,4900.0
35,admin.,married,secondary,-87,yes,no,yes,0,Young_Savers,4998.26,30.0,350,1328.5714285714287
32,technician,single,tertiary,6281,yes,no,yes,0,Young_Savers,5125.62,0.0,200,2400.0
45,management,divorced,secondary,644,yes,no,yes,0,Young_Savers,5012.88,0.0,50,9900.0
30,admin.,divorced,secondary,377,yes,no,yes,2,Budget_Conscious,5007.54,0.0,750,566.6666666666667
29,services,single,secondary,-271,yes,no,yes,0,Young_Savers,4994.58,30.0,50,9900.0
38,blue-collar,married,primary,5839,yes,no,yes,0,Young_Savers,5116.78,0.0,100,4900.0
23,blue-collar,single,secondary,492,yes,no,yes,0,Young_Savers,5009.84,0.0,50,9900.0
27,management,single,tertiary,99,yes,no,yes,0,Young_Savers,5001.98,0.0,100,4900.0
27,management,single,tertiary,-713,yes,no,yes,0,Young_Savers,4985.74,70.0,100,4900.0
29,services,single,secondary,32,yes,no,yes,0,Young_Savers,5000.64,0.0,50,9900.0
30,self-employed,married,tertiary,543,yes,yes,yes,0,Young_Savers,5010.86,30.0,300,1566.6666666666665
36,blue-collar,married,primary,403,yes,no,yes,0,Young_Savers,5008.06,0.0,50,9900.0
35,admin.,divorced,secondary,437,yes,no,yes,0,Young_Savers,5008.74,0.0,50,9900.0
36,blue-collar,married,secondary,1772,no,no,yes,0,Young_Savers,5035.44,0.0,50,9900.0
59,retired,divorced,primary,-88,yes,no,yes,3,Premium_Clients,4998.24,30.0,100,4900.0
47,entrepreneur,married,secondary,0,no,no,yes,0,Young_Savers,5000.0,0.0,50,9900.0
58,entrepreneur,married,tertiary,853,no,no,yes,3,Premium_Clients,5017.06,0.0,100,4900.0
37,management,single,tertiary,240,no,no,yes,0,Young_Savers,5004.8,0.0,50,9900.0
46,admin.,single,secondary,849,yes,no,yes,0,Young_Savers,5016.98,0.0,100,4900.0
43,blue-collar,single,secondary,318,yes,no,yes,0,Young_Savers,5006.36,0.0,100,4900.0
27,management,single,tertiary,703,yes,no,yes,0,Young_Savers,5014.06,0.0,150,3233.3333333333335
38,services,divorced,secondary,61,no,no,yes,0,Young_Savers,5001.22,0.0,50,9900.0
53,housemaid,married,primary,104,no,yes,yes,3,Premium_Clients,5002.08,30.0,50,9900.0
47,blue-collar,married,secondary,1996,no,no,yes,0,Young_Savers,5039.92,0.0,100,4900.0
56,housemaid,divorced,primary,1238,no,no,yes,0,Young_Savers,5024.76,40.0,50,9900.0
41,housemaid,married,secondary,879,no,no,yes,0,Young_Savers,5017.58,0.0,100,4900.0
29,self-employed,married,secondary,425,yes,no,yes,2,Budget_Conscious,5008.5,0.0,750,566.6666666666667
50,technician,married,secondary,416,yes,no,yes,0,Young_Savers,5008.32,0.0,250,1900.0
45,blue-collar,divorced,primary,844,no,no,yes,0,Young_Savers,5016.88,0.0,150,3233.3333333333335
35,blue-collar,married,secondary,860,yes,no,yes,0,Young_Savers,5017.2,0.0,200,2400.0
26,technician,single,secondary,639,yes,no,yes,0,Young_Savers,5012.78,0.0,250,1900.0
26,admin.,married,secondary,710,yes,yes,yes,0,Young_Savers,5014.2,30.0,100,4900.0
37,blue-collar,married,unknown,1508,no,yes,yes,0,Young_Savers,5030.16,30.0,100,4900.0
30,admin.,single,secondary,223,yes,no,yes,2,Budget_Conscious,5004.46,0.0,550,809.0909090909091
38,management,single,tertiary,619,yes,no,yes,0,Young_Savers,5012.38,0.0,200,2400.0
37,services,divorced,secondary,319,yes,no,yes,0,Young_Savers,5006.38,0.0,150,3233.3333333333335
53,technician,married,secondary,480,no,no,yes,3,Premium_Clients,5009.6,0.0,100,4900.0
29,blue-collar,single,primary,213,yes,no,yes,0,Young_Savers,5004.26,0.0,150,3233.3333333333335
35,management,single,tertiary,68,no,no,yes,0,Young_Savers,5001.36,0.0,50,9900.0
28,blue-collar,married,secondary,2788,yes,no,yes,0,Young_Savers,5055.76,0.0,100,4900.0
55,blue-collar,married,unknown,7561,no,no,yes,3,Premium_Clients,5151.22,0.0,150,3233.3333333333335
49,management,divorced,secondary,-46,yes,no,yes,2,Budget_Conscious,4999.08,30.0,500,900.0
50,services,married,secondary,1595,no,no,yes,0,Young_Savers,5031.9,0.0,50,9900.0
43,management,single,tertiary,1046,no,no,yes,0,Young_Savers,5020.92,0.0,50,9900.0
58,self-employed,divorced,tertiary,1382,no,no,yes,3,Premium_Clients,5027.64,0.0,50,9900.0
38,technician,married,primary,217,yes,no,yes,0,Young_Savers,5004.34,0.0,300,1566.6666666666665
48,blue-collar,divorced,primary,183,no,no,yes,0,Young_Savers,5003.66,0.0,50,9900.0
59,management,married,secondary,1321,no,no,yes,0,Young_Savers,5026.42,0.0,150,3233.3333333333335
58,blue-collar,married,secondary,25,no,no,yes,3,Premium_Clients,5000.5,0.0,150,3233.3333333333335
36,self-employed,single,tertiary,4844,no,no,yes,0,Young_Savers,5096.88,0.0,150,3233.3333333333335
42,entrepreneur,married,tertiary,5345,no,no,yes,0,Young_Savers,5106.9,0.0,150,3233.3333333333335
41,admin.,single,secondary,812,no,yes,yes,0,Young_Savers,5016.24,30.0,200,2400.0
42,admin.,married,secondary,105,no,no,yes,0,Young_Savers,5002.1,0.0,200,2400.0
39,management,married,tertiary,-190,no,yes,yes,0,Young_Savers,4996.2,60.0,400,1150.0
57,housemaid,married,primary,625,no,yes,yes,3,Premium_Clients,5012.5,30.0,50,9900.0
52,retired,married,unknown,293,no,no,yes,0,Young_Savers,5005.86,0.0,50,9900.0
59,retired,married,unknown,1033,no,no,yes,3,Premium_Clients,5020.66,0.0,50,9900.0
56,blue-collar,married,secondary,1210,no,no,yes,3,Premium_Clients,5024.2,0.0,50,9900.0
49,management,married,tertiary,64,no,no,yes,0,Young_Savers,5001.28,0.0,50,9900.0
35,blue-collar,divorced,unknown,164,no,no,yes,0,Young_Savers,5003.28,0.0,100,4900.0
